Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bermuda,147.51,102.54,126.71,148.59,162.07,68.82
2,Switzerland,125.02,54.92,92.59,129.17,122.92,102.77
3,Norway,103.56,36.91,72.72,99.51,106.72,73.55
4,Iceland,99.67,46.62,75.12,93.51,106.16,67.3
5,Barbados,94.44,22.53,61.17,89.23,78.91,30.74
6,Jersey,94.43,64.03,80.36,78.51,96.55,77.12
7,Denmark,88.53,34.51,63.53,71.55,104.06,86.43
8,Luxembourg,85.3,64.19,75.53,79.55,93.53,87.76
9,Israel,84.77,32.6,60.63,73.31,91.74,65.91
10,Bahamas,84.32,35.03,61.51,70.63,83.61,46.07
11,Singapore,82.63,64.98,74.46,74.28,59.02,78.53
12,Japan,81.15,28.05,56.58,84.48,48.67,76.01
13,Hong Kong,80.82,77.56,79.31,84.83,59.5,56.86
14,Australia,80.75,38.67,61.28,78.96,74.73,91.07
15,Netherlands,78.93,38.24,60.1,67.45,80.31,76.65
16,Ireland,78.55,45.34,63.18,64.98,80.96,71.58
17,France,77.59,27.07,54.22,75.99,75.39,76.36
18,South Korea,76.46,23.25,51.84,94.49,43.14,69.44
19,Finland,76.35,27.81,53.89,66.4,81.93,80.11
20,New Zealand,76.31,35.79,57.56,72.34,73.25,74.89
21,Sweden,75.89,27.61,53.55,69.68,75.31,85.44
22,Belgium,75.79,27.28,53.35,65.22,82.5,70.12
23,Austria,74.87,29.38,53.82,68.83,70.9,68.69
24,Seychelles,74.07,34.49,55.76,72.97,82.84,16.86
25,Malta,72.92,33.06,54.47,63.96,76.19,36.73
26,Canada,71.45,35.06,54.62,70.15,69.51,78.34
27,United Kingdom,70.64,33.03,53.24,57.34,76.16,77.47
28,United States,70.55,42.56,57.6,69.87,70.79,94.32
29,Italy,69.99,22.12,47.84,60.7,74,54.3
30,Lebanon,69.32,26.4,49.46,64.23,57.2,32.48
31,Macao,68.16,46.31,58.05,66.18,51.71,62.15
32,Germany,67.85,29.61,50.16,53.33,64,89.86
33,Puerto Rico,67.84,20.4,45.89,70.31,58.23,61.16
34,Taiwan,64.93,17.86,43.15,80.52,29.27,51.09
35,Qatar,61.93,48.95,55.93,54.25,61.93,84.85
36,Cyprus,61.64,22.99,43.76,51.29,63.25,49.36
37,Maldives,61.03,32.1,47.65,62.38,33.62,23.61
38,United Arab Emirates,58.94,39.21,49.81,47.43,59.57,84.93
39,Greece,58.38,13.3,37.52,46.17,54.53,35.95
40,Bahrain,57.16,30.23,44.7,45.96,51.99,52.68
41,Palestine,56.92,10.68,35.52,50.3,41.79,35.98
42,Spain,56.64,23.19,41.16,47.36,56.63,58.5
43,Slovenia,56.4,18.7,38.96,49.16,46.99,52.08
44,Cuba,55.46,16.22,37.31,47.74,35.24,1.28
45,Croatia,55.18,14.5,36.36,48.44,46.86,39.83
46,Trinidad And Tobago,54.78,16.96,37.28,53.37,53.78,34.85
47,Estonia,53.77,15.89,36.24,42.3,53.02,56.58
48,Libya,53.59,13.95,35.25,61.02,36.28,27.83
49,Panama,53.03,23.24,39.25,53.22,45.57,28.91
50,Jamaica,51.75,17.42,35.87,54.27,34.69,28.01
51,Senegal,51.54,22.22,37.97,44.63,37.88,21.87
52,Yemen,51.41,6.77,30.75,63.48,23.46,12.81
53,Ivory Coast,50.95,22.05,37.58,43.21,33.81,5.65
54,Jordan,50.91,9.97,31.97,41.91,42.02,27.95
55,Belize,50.91,11.65,32.74,47.64,36.47,42.38
56,Portugal,50.65,21.97,37.38,40.87,42.54,40.54
57,Uruguay,50.55,14.15,33.7,41.8,48.43,27.43
58,Latvia,50.41,12.9,33.06,39.48,45.62,43.49
59,Suriname,50.05,10.09,31.56,48.44,62.23,14.55
60,Guyana,49.7,8.82,30.78,52.37,44.43,15.87
61,Oman,49.64,17.86,34.93,46.9,43.04,74.87
62,Saudi Arabia,49.6,12.51,32.44,41.94,33.84,80.11
63,Kuwait,49.14,32.78,41.57,36.21,48.15,70.51
64,Ethiopia,48.89,16.36,33.84,36.01,18.2,9.03
65,Chile,48.6,15.01,33.06,41.64,47.86,29.43
66,Costa Rica,48.53,15.66,33.32,46.35,42.77,34.7
67,Czech Republic,48.2,18.79,34.59,42.57,35.41,54.8
