Country,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Local_Purchasing_Power_Index,Year,lat,lng
Afghanistan,20.37,2.72,12.09,23.04,2022,33.93911,67.709953
Albania,35.5,8.47,22.83,30.19,2022,41.153332,20.168331
Algeria,26.87,4.59,16.43,24.63,2022,28.033886,1.659626
Argentina,34.69,7.71,22.04,30.72,2022,-38.416097,-63.61667199999999
Armenia,33.89,11.61,23.45,28.86,2022,40.069099,45.038189
Australia,77.75,36.84,58.57,104.63,2022,-25.274398,133.775136
Austria,71.04,27.13,50.46,77.25,2022,47.516231,14.550072
Azerbaijan,29.73,7.86,19.48,27.26,2022,40.143105,47.576927
Bahamas,84.0,35.34,61.19,45.07,2022,25.03428,-77.39627999999999
Bahrain,54.77,29.22,42.79,61.41,2022,26.0667,50.5577
Bangladesh,33.13,4.42,19.67,25.3,2022,23.684994,90.356331
Barbados,92.37,21.99,59.38,32.08,2022,13.193887,-59.543198
Belarus,30.89,9.81,21.01,31.78,2022,53.709807,27.953389
Belgium,72.61,25.79,50.67,79.72,2022,50.503887,4.469936
Belize,51.3,11.64,32.71,45.73,2022,17.189877,-88.49765
Bermuda,146.04,98.58,123.8,81.07,2022,32.3078,-64.7505
Bolivia,34.77,10.18,23.24,36.04,2022,-16.290154,-63.58865299999999
Bosnia And Herzegovina,36.12,6.82,22.39,44.1,2022,43.915886,17.679076
Botswana,40.17,10.21,26.12,62.63,2022,-22.328474,24.684866
Brazil,33.24,8.27,21.54,27.85,2022,-14.235004,-51.92528
Bulgaria,38.38,9.07,24.64,45.96,2022,42.733883,25.48583
Cambodia,49.11,15.68,33.44,13.32,2022,12.565679,104.990963
Cameroon,39.48,6.91,24.22,15.37,2022,7.369721999999999,12.354722
Canada,70.22,34.33,53.4,87.98,2022,56.130366,-106.346771
Chile,43.9,13.51,29.66,33.27,2022,-35.675147,-71.542969
China,41.77,16.53,29.93,59.99,2022,35.86166,104.195397
Colombia,26.72,8.18,18.03,28.85,2022,4.570868,-74.297333
Costa Rica,47.01,14.7,31.87,39.88,2022,9.748916999999999,-83.753428
Croatia,48.94,13.38,32.27,47.55,2022,45.1,15.2
Cuba,55.0,15.23,36.36,1.45,2022,21.521757,-77.781167
Cyprus,59.03,22.36,41.84,57.31,2022,35.126413,33.429859
Czech Republic,48.24,18.4,34.25,66.47,2022,49.81749199999999,15.472962
Denmark,84.12,33.23,60.26,99.45,2022,56.26392,9.501785
Dominican Republic,41.77,9.59,26.68,21.07,2022,18.735693,-70.162651
Ecuador,37.34,11.28,25.12,31.76,2022,-1.831239,-78.18340599999999
Egypt,29.52,5.82,18.41,21.54,2022,26.820553,30.802498
El Salvador,44.37,13.19,29.75,21.17,2022,13.794185,-88.89653
Estonia,53.68,16.37,36.19,63.46,2022,58.595272,25.013607
Ethiopia,47.49,16.88,33.14,10.15,2022,9.145000000000001,40.489673
Fiji,43.16,17.76,31.26,35.87,2022,-17.713371,178.065032
Finland,73.2,25.95,51.05,91.02,2022,61.92410999999999,25.748151
France,74.13,25.33,51.26,85.41,2022,46.227638,2.213749
Georgia,30.18,9.26,20.37,31.15,2022,42.315407,43.35689199999999
Germany,65.58,27.62,47.78,103.08,2022,51.165691,10.451526
Ghana,36.2,19.31,28.28,16.82,2022,7.946527,-1.023194
Greece,56.22,12.68,35.81,39.73,2022,39.074208,21.824312
Guatemala,43.49,15.6,30.42,26.35,2022,15.783471,-90.23075899999999
Guernsey,83.59,54.02,69.73,71.57,2022,49.4481982,-2.58949
Honduras,40.46,10.28,26.31,32.09,2022,15.199999,-86.241905
Hong Kong,80.71,74.57,77.83,65.74,2022,22.3193039,114.1693611
Hungary,40.66,11.91,27.18,51.98,2022,47.162494,19.503304
Iceland,94.86,41.93,70.05,77.06,2022,64.963051,-19.020835
India,24.43,5.3,15.47,49.72,2022,20.593684,78.96288
Indonesia,35.85,9.82,23.65,21.07,2022,-0.789275,113.921327
Iran,37.39,17.05,27.85,17.98,2022,32.427908,53.688046
Iraq,34.47,10.63,23.29,40.92,2022,33.223191,43.679291
Ireland,76.05,42.08,60.13,82.27,2022,53.1423672,-7.692053599999999
Israel,88.05,33.94,62.69,75.58,2022,31.046051,34.851612
Italy,66.47,20.55,44.95,61.74,2022,41.87194,12.56738
Ivory Coast,47.03,17.68,33.27,6.92,2022,7.539988999999999,-5.547079999999999
Jamaica,49.67,15.1,33.46,30.25,2022,18.109581,-77.297508
Japan,77.03,25.86,53.04,87.11,2022,36.204824,138.252924
Jersey,92.02,65.33,79.51,79.14,2022,49.2137711,-2.1357662
Jordan,49.19,9.23,30.46,31.34,2022,30.585164,36.238414
Kazakhstan,28.68,9.44,19.66,32.23,2022,48.019573,66.923684
Kenya,33.92,8.73,22.11,32.18,2022,-0.023559,37.906193
Kosovo (Disputed Territory),27.05,8.04,18.14,43.86,2022,42.6026359,20.902977
Kuwait,48.68,31.31,40.54,78.57,2022,29.31166,47.481766
Latvia,48.45,11.77,31.26,51.65,2022,56.879635,24.603189
Lebanon,69.62,24.81,48.61,35.12,2022,33.854721,35.862285
Libya,48.35,12.89,31.73,33.25,2022,26.3351,17.228331
Lithuania,45.65,15.01,31.29,58.74,2022,55.169438,23.881275
Luxembourg,80.5,60.09,70.93,98.84,2022,49.815273,6.129582999999999
Macao,66.81,43.0,55.65,69.27,2022,22.198745,113.543873
Malaysia,37.02,9.87,24.29,55.3,2022,4.210484,101.975766
Maldives,57.66,30.2,44.78,28.59,2022,3.202778,73.22068
Malta,67.84,29.72,49.97,44.18,2022,35.937496,14.375416
Mauritius,44.08,10.95,28.55,29.62,2022,-20.348404,57.55215200000001
Mexico,35.35,12.55,24.66,38.62,2022,23.634501,-102.552784
Moldova,30.35,8.7,20.2,33.43,2022,47.411631,28.369885
Mongolia,34.74,11.22,23.72,24.34,2022,46.862496,103.846656
Montenegro,38.95,12.87,26.72,34.19,2022,42.708678,19.37439
Morocco,33.83,8.98,22.18,34.36,2022,31.791702,-7.092619999999999
Myanmar,35.67,21.18,28.87,13.84,2022,21.916221,95.955974
Nepal,28.29,3.96,16.89,22.96,2022,28.394857,84.12400799999999
Netherlands,75.66,36.06,57.1,87.99,2022,52.132633,5.291265999999999
New Zealand,74.52,34.44,55.73,83.63,2022,-40.900557,174.885971
Nicaragua,39.64,8.68,25.13,17.63,2022,12.865416,-85.207229
Nigeria,30.49,35.99,33.07,9.34,2022,9.081999,8.675277
North Macedonia,31.38,6.06,19.51,35.44,2022,41.608635,21.745275
Norway,100.9,34.68,69.86,83.11,2022,60.47202399999999,8.468945999999999
Oman,49.42,16.77,34.11,84.24,2022,21.4735329,55.975413
Pakistan,19.92,3.91,12.42,26.63,2022,30.375321,69.34511599999999
Palestine,58.11,11.01,36.03,39.84,2022,31.952162,35.233154
Panama,51.43,21.75,37.51,33.09,2022,8.537981,-80.782127
Paraguay,30.2,10.04,20.75,26.08,2022,-23.442503,-58.443832
Peru,32.53,11.22,22.54,28.17,2022,-9.189967,-75.015152
Philippines,37.06,9.59,24.18,21.47,2022,12.879721,121.774017
Poland,38.95,14.45,27.46,59.95,2022,51.919438,19.145136
Portugal,47.94,20.73,35.19,46.8,2022,39.39987199999999,-8.224454
Puerto Rico,66.53,18.4,43.97,72.78,2022,18.220833,-66.590149
Qatar,62.81,48.2,55.96,93.67,2022,25.354826,51.183884
Romania,35.24,10.17,23.49,48.12,2022,45.943161,24.96676
Russia,35.26,13.09,24.87,37.41,2022,61.52401,105.318756
Rwanda,31.62,15.9,24.25,26.82,2022,-1.940278,29.873888
Saudi Arabia,50.41,11.67,32.25,91.85,2022,23.885942,45.079162
Senegal,50.25,22.97,37.46,23.45,2022,14.497401,-14.452362
Serbia,36.21,8.73,23.33,37.83,2022,44.016521,21.005859
Seychelles,65.93,32.35,50.19,19.43,2022,-4.679574,55.491977
Singapore,83.98,66.43,75.75,91.34,2022,1.352083,103.819836
Slovakia,44.68,16.11,31.29,54.7,2022,48.669026,19.699024
Slovenia,53.88,17.9,37.01,59.48,2022,46.151241,14.995463
Somalia,34.58,5.16,20.79,29.4,2022,5.152149,46.199616
South Africa,42.09,16.6,30.14,78.36,2022,-30.559482,22.937506
South Korea,73.22,20.02,48.28,76.85,2022,35.907757,127.766922
Spain,53.88,21.25,38.58,70.04,2022,40.46366700000001,-3.74922
Sri Lanka,31.29,8.23,20.48,19.27,2022,7.873053999999999,80.77179699999999
Suriname,51.78,9.71,32.06,13.44,2022,3.919305,-56.027783
Sweden,71.74,25.86,50.23,98.14,2022,60.12816100000001,18.643501
Switzerland,123.35,53.54,90.62,118.44,2022,46.818188,8.227511999999999
Syria,28.75,5.17,17.7,6.59,2022,34.80207499999999,38.996815
Taiwan,62.35,17.69,41.42,58.35,2022,23.69781,120.960515
Tanzania,32.81,12.36,23.23,15.97,2022,-6.369028,34.888822
Thailand,43.21,14.69,29.84,31.56,2022,15.870032,100.992541
Trinidad And Tobago,54.88,15.97,36.64,38.47,2022,10.691803,-61.222503
Tunisia,27.87,5.32,17.3,27.83,2022,33.886917,9.537499
Turkey,28.31,6.63,18.15,32.88,2022,38.963745,35.243322
Uganda,33.5,9.19,22.1,11.41,2022,1.373333,32.290275
Ukraine,30.71,10.57,21.27,37.22,2022,48.379433,31.16558
United Arab Emirates,58.33,43.28,51.28,92.17,2022,23.424076,53.847818
United Kingdom,69.65,31.84,51.93,88.78,2022,55.378051,-3.435973
United States,70.13,42.07,56.98,106.34,2022,37.09024,-95.712891
Uruguay,52.07,13.93,34.19,30.07,2022,-32.522779,-55.765835
Uzbekistan,27.31,9.29,18.86,22.37,2022,41.377491,64.585262
Venezuela,43.2,9.99,27.63,15.41,2022,6.42375,-66.58973
